Astronaut ,Selection Year, Group, # Flights ,Status ,Military or civilian,Gender,If military include details,Date of birth,Job,Missions flown,Cumulative hours of space flight time
"Carpenter, M. Scott ",1959,1,1,Former ,Military,Male,"Commander, US Navy (Retired)",5/1/25,,Mercury 7,4
"Williams, Clifton C., Jr.",1963,3,0,Deceased ,Military,Male,"Major, US Marine Corps",9/26/32,,,0
"Worden, Alfred M.",1966,5,1,Former ,Military,Male,"Colonel, US Air Force",2/7/32,,Apollo 15,295
"Williams, Donald E.",1978,8,2,Former ,Military,Male,"Captain, US Navy",2/13/42,,STS 51-D and STS-34,287
"Wilcutt, Terrence W.",1990,13,4,Current ,Military,Male,"Colonel, US Marine Corps (Retired)",10/31/49,Pilot,"STS-68, STS-79, STS-89 and STS-106",1007
"Wisoff, Peter J. K.",1990,13,4,Former ,Civilian,Male,,8/16/58,,"STS-57, STS-68, STS-81 and STS-92",1063
"Wolf, David A.",1990,13,3,Current ,Civilian,Male,,8/23/56,Mission Specialist,"STS-58, NASA-MIR 6 and STS-112",3432
"Whitson, Peggy A.",1996,16,2,Management,Civilian,Female,,2/9/60,,STS-111/Exp 5/STS-113 and Soyuz TMA-11,9048
"Williams, Jeffrey N.",1996,16,3,Current ,Military,Male,"Colonel, US Army",1/18/58,Mission Specialist,"STS-101, Exp 13 and Soyuz TMA-16",8688
"Wilson, Stephanie D.",1996,16,3,Current ,Civilian,Female,,9/27/66,Mission Specialist,"STS-121, STS-120 and STS-131",1008
"Williams, Sunita L.",1998,17,1,Current ,Military,Female,"Commander, US Navy",9/19/65,Mission Specialist,STS-116,4680
"Woodward, Neil W., III",1998,17,0,Former,Military,Male,"Commander, US Navy",7/26/62,Mission Specialist,,0
"Wilmore, Barry E.",2000,18,1,Current ,Military,Male,"Commander, US Navy",12/29/62,Pilot,STS-129,259
"Aunon, Serena M.",2009,20,0,Current ,Civilian,Female,,4/9/76,,,0
"Epps, Jeanette J.",2009,20,0,Candidate ,Civilian,Female,,11/2/70,,,0
"Fischer, Jack D.",2009,20,0,Candidate ,Military,Male,US Air Force,1/23/74,,,0
"Hansen, Jeremy",2009,20,0,Candidate ,,Male,,1/27/76,,,0
"Hopkins, Michael S.",2009,20,0,Candidate ,Military,Male,2nd Lieutenant US Air Force,12/28/68,,,0
"Kanai, Norishige",2009,20,0,Candidate ,Civilian,Male,,1976,,,0
"Lindgren, Kjell N.",2009,20,0,Candidate ,Military,Male,US Air Force,1/23/73,,,0
"Onishi, Tayuka",2009,20,0,Candidate ,Civilian,Male,,1975,,,0
"Rubins, Kathleen ",2009,20,0,Candidate ,Civilian,Female,,10/14/78,,,0
"Saint-Jacques, David",2009,20,0,Candidate ,Civilian,Male,,1/6/70,,,0
"Tingle, Scott D.",2009,20,0,Candidate ,Military,Male,Naval Officer,7/19/65,,,0
"Vande Hei, Mark T.",2009,20,0,Candidate ,Military,Male,"2nd Lieutenant, US Army",11/10/66,,,0
"Wiseman, Gregory R.",2009,20,0,Candidate ,Civilian,Male,,11/11/75,,,0
"Yui, Kimiya",2009,20,0,Candidate ,,Male,,1970,,,
"Cooper, L. Gordon, Jr. ",1959,1,2,Deceased ,Military,Male,"Colonel, US Air Force",3/6/27,,Mercury 9 and Gemini 5,225
"Glenn, John H., Jr. ",1959,1,2,Former ,Military,Male,Colonel US Marine Corps,7/18/21,,Mercury 6 and STS-95,217
"Grissom, Virgil I. ",1959,1,2,Deceased ,Military,Male,"Lieutenant Colonel, US Air Force",4/3/26,,Mercury 4 and Gemini 3,5
"Schirra, Walter M., Jr. ",1959,1,3,Deceased ,Military,Male,"Captain, US Navy",3/12/23,,"Mercury 8, Gemini 6 and Apollo 7",295
"Shepard, Alan B., Jr. ",1959,1,2,Deceased ,Military,Male,"Rear Admiral, US Navy",11/18/23,,Mercury 3 and Apollo 14,216
"Slayton, Donald K. ",1959,1,1,Deceased ,Civilian,Male,"Major, US Air Force Reserve",3/1/24,,Apollo-Soyuz Test Project,217
"Armstrong, Neil A. ",1962,2,2,Former ,Civilian,Male,,8/5/30,,Gemini 8 and Apollo 11,205
"Borman, Frank ",1962,2,2,Former ,Military,Male,"Colonel, US Air Force",3/14/28,,Gemini 7 and Apollo 8,477
"Conrad, Charles, Jr. ",1962,2,4,Deceased ,Military,Male,"Captain, US Navy",5/2/30,,"Gemini 5, Gemini 11, Apollo 12 and Skylab 2",1179
"Lovell, James A., Jr. ",1962,2,4,Former ,Military,Male,"Captain, US Navy",3/25/28,,"Gemini 7, Gemini 12, Apollo 8 and Apollo 13",715
"McDivitt, James A. ",1962,2,2,Former ,Military,Male,"Brigadier General, US Air Force",6/10/29,,Gemini 4 and Apollo 9,338
"See, Elliot M., Jr. ",1962,2,0,Deceased ,Civilian,Male,,7/23/27,,,0
"Stafford, Thomas P. ",1962,2,4,Former ,Military,Male,"Lieutenant General, US Air Force",9/17/30,,"Gemini 6, Gemini 9, Apollo 10 and Apollo-Soyuz Test Project",507
"White, Edward H., II ",1962,2,1,Deceased ,Military,Male,"Lieutenant Colonel, US Air Force",11/14/30,,Gemini 4,97
"Young, John W. ",1962,2,6,Former ,Military,Male,"Captain, US Navy (Retired)",9/24/30,,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 and STS-9",835
"Aldrin, Buzz ",1963,3,2,Former ,Military,Male,"Colonel, US Air Force (Retired)",1/20/30,,Gemini 12 and Apollo 11,289
"Anders, William A. ",1963,3,1,Former ,Civilian,Male,US Air Force Reserve,10/17/33,,Apollo 8,147
"Bassett, Charles A., II ",1963,3,0,Deceased ,Military,Male,"Captain, US Air Force",12/30/31,,,0
"Bean, Alan L. ",1963,3,2,Former ,Military,Male,"Captain, US Navy (Retired)",3/15/32,,Apollo 12 and Skylab 3,1671
"Cernan, Eugene A. ",1963,3,3,Former ,Military,Male,"Captain, US Navy (Retired)",3/14/34,,"Gemini 9, Apollo 10 and Apollo 17",566
"Chaffee, Roger B. ",1963,3,0,Deceased ,Military,Male,"Lieutenant Commander, US Navy",2/15/35,,,0
"Collins, Michael ",1963,3,2,Former ,Civilian,Male,US Air Force Reserve,10/31/30,,Gemini 10 and Apollo 11,266
"Cunningham, Walter ",1963,3,1,Former ,Civilian,Male,"Colonel, US Marine Corps Reserve",3/16/32,,Apollo 7,263
"Eisele, Donn F. ",1963,3,1,Deceased ,Military,Male,"Colonel, US Air Force",5/23/30,,Apollo 7,260
"Freeman, Theodore C. ",1963,3,0,Deceased ,Military,Male,"Captain, US Air Force",2/18/30,,,0
"Gordon, Richard F., Jr. ",1963,3,2,Former ,Military,Male,"Captain, US Navy",10/5/29,,Gemini 11 and Apollo 12,315
"Schweickart, Russell L. ",1963,3,1,Former ,Civilian,Male,,10/25/35,,Apollo 9,241
"Scott, David R. ",1963,3,3,Former ,Military,Male,"Colonel, US Air Force",6/6/32,,"Gemini 8, Apollo 9 and Apollo 15",546
"Garriott, Owen K. ",1965,4,2,Former ,Civilian,Male,,11/22/30,,Skylab 3 and STS-9,1674
"Gibson, Edward G. ",1965,4,1,Former ,Civilian,Male,,11/8/36,,Skylab 4,2017
"Graveline, Duane E. ",1965,4,0,Former ,Civilian,Male,,3/2/31,,,0
"Kerwin, Joseph P. ",1965,4,1,Former ,Military,Male,"Captain, Medical Corps, US Navy",2/19/32,,Skylab 2,672
"Michel, F. Curtis ",1965,4,0,Former ,Civilian,Male,,6/5/34,,,0
"Schmitt, Harrison H. ",1965,4,1,Former ,Civilian,Male,,7/3/35,,Apollo 17,301
"Brand, Vance D. ",1966,5,4,Former,Civilian,Male,,5/9/31,,"Apollo-Soyuz Test Project, STS-5, STS 41-B and STS-35",746
"Bull, John S. ",1966,5,0,Deceased ,Civilian,Male,,9/25/34,,,0
"Carr, Gerald P. ",1966,5,1,Former ,Military,Male,"Colonel, US Marine Corps (Retired)",8/22/32,,Skylab 4,2017
"Duke, Charles M., Jr. ",1966,5,1,Former ,Military,Male,"Brigadier General, US Air Force",10/3/35,,Apollo 16,265
"Engle, Joe H. ",1966,5,2,Former ,Military,Male,"Major General, US Air Force",8/26/32,,STS-2 and STS 51-I,224
"Evans, Ronald E. ",1966,5,1,Deceased ,Military,Male,"Captain, US Navy",11/10/33,,Apollo 17,301
"Givens, Edward G., Jr. ",1966,5,0,Deceased ,Military,Male,"Major, US Air Force",1/5/30,,,0
"Haise, Fred W., Jr. ",1966,5,1,Former ,Civilian,Male,,11/14/33,,Apollo 13 ,142
"Irwin, James B. ",1966,5,1,Deceased ,Military,Male,"Colonel, US Air Force",3/17/30,,Apollo 15,295
"Lind, Don L. ",1966,5,1,Former ,Civilian,Male,,5/18/30,,STS 51-B,168
"Lousma, Jack R. ",1966,5,2,Former ,Military,Male,"Colonel, US Marine Corps",2/29/36,,Skylab 3 and STS-3,1619
"Mattingly, Thomas K., II ",1966,5,3,Former ,Military,Male,Rear Admiral US Navy,3/17/36,,"Apollo 16, STS-4 and STS 51-C",504
"McCandless, Bruce, II ",1966,5,2,Former ,Military,Male,"Captain, US Navy",6/8/37,,STS 41-B and STS-31,312
"Mitchell, Edgar D. ",1966,5,1,Former ,Military,Male,"Captain, US Navy",9/17/30,,Apollo 14,216
"Pogue, William R. ",1966,5,1,Former ,Military,Male,"Colonel, US Air Force",1/23/30,,Skylab 4,2017
"Roosa, Stuart A. ",1966,5,1,Deceased ,Military,Male,"Colonel, US Air Force",8/16/33,,Apollo 14,216
"Swigert, John L., Jr. ",1966,5,1,Deceased ,Civilian,Male,,8/30/31,,Apollo 13,142
"Weitz, Paul J. ",1966,5,2,Former ,Military,Male,"Captain, US Navy",6/25/32,Pilot,Skylab 2 and STS-6,793
"Allen, Joseph P. ",1967,6,2,Former ,Civilian,Male,,6/27/37,,ST-5 and STS 51-A,313
"Chapman, Philip K. ",1967,6,0,Former ,Civilian,Male,,3/5/35,,,0
"England, Anthony W. ",1967,6,1,Former ,Civilian,Male,,5/15/42,,STS 51-F,190
"Henize, Karl G. ",1967,6,1,Deceased ,Civilian,Male,,10/17/26,,STS 51-F,188
"Holmquest, Donald L. ",1967,6,0,Former ,Civilian,Male,,4/7/39,,,0
"Lenoir, William B. ",1967,6,1,Former ,Civilian,Male,,3/14/39,,STS-5,122
"Llewellyn, John A. ",1967,6,0,Former ,Civilian,Male,,4/22/33,,,0
"Musgrave, Story ",1967,6,6,Former ,Civilian,Male,,8/19/35,,"STS-6, STS 51-F, STS-33, STS-44, STS-61 and STS-80",1281
"O'Leary, Brian T. ",1967,6,0,Former ,Civilian,Male,,1/27/40,,,0
"Parker, Robert A. R. ",1967,6,2,Former,Civilian,Male,,12/14/36,,STS-9 and STS-35,462
"Thornton, William E. ",1967,6,2,Former ,Civilian,Male,,4/14/29,,STS-8 and STS 51-B,313
"Bobko, Karol J. ",1969,7,3,Former ,Military,Male,"Colonel, US Air Force",12/23/37,,"STS-6, STS 51-D and STS-51-J",386
"Crippen, Robert L. ",1969,7,4,Former ,Military,Male,"Captain, US Navy",9/11/37,,"STS-1, STS-7, STS 41-C and STS 41-G",565
"Fullerton, Charles G. ",1969,7,2,Former,Military,Male,US Air Force (Retired),10/11/36,,STS-3 and STS 51-F,382
"Hartsfield, Henry W., Jr. ",1969,7,3,Former ,Military,Male,"Colonel, US Air Force",11/21/33,,"STS-4, STS 41-D and STS 61-A",482
"Overmyer, Robert F. ",1969,7,2,Deceased ,Military,Male,"Colonel, US Marine Corps",7/14/36,Pilot,STS-5 and STS 51-B,290
"Peterson, Donald H. ",1969,7,1,Former ,Military,Male,"Colonel, US Air Force",10/22/33,,STS-6,120
"Truly, Richard H. ",1969,7,2,Former ,Military,Male,"Vice Admiral, US Navy",11/12/37,,STS-2 and STS-8,199
"Bluford, Guion S., Jr. ",1978,8,4,Former ,Military,Male,"Colonel, US Air Force",11/22/42,,"STS-8, STS 61-A, STS-39 and STS-53",688
"Brandenstein, Daniel C. ",1978,8,4,Former ,Military,Male,"Captain, US Navy (Retired)",1/17/43,,"STS-8, STS 51-G, STS-32 and STS-49",789
"Buchli, James F. ",1978,8,4,Former ,Military,Male,"Colonel, US Marine Corps (Retired)",6/20/45,,"STS 51-C, STS 61-A, STS-29 and STS-48",490
"Coats, Michael L. ",1978,8,3,Former ,Military,Male,"Captain, US Navy (Retired)",1/16/46,,"STS 41-D, STS-29 and STS-39",463
"Covey, Richard O. ",1978,8,4,Former ,Military,Male,"Colonel, US Air Force",8/1/46,,"STS 51-l, STS-26, STS-38 and STS-61",645
"Creighton, John O. ",1978,8,3,Former ,Military,Male,"Captain, US Navy",4/28/43,,"STS 51-G, STS-36 and STS-48",404
"Fabian, John M. ",1978,8,2,Former ,Military,Male,"Colonel, US Air Force",1/28/39,,STS-7 and STS 51-G,316
"Fisher, Anna L. ",1978,8,1,Current ,Civilian,Female,,8/24/49,Mission Specialist,STS 51-A,191
"Gardner, Dale A. ",1978,8,2,Former ,Military,Male,"Captain, US Navy",11/8/48,,STS-8 and STS 51-A,336
"Gibson, Robert L. ",1978,8,5,Former ,Military,Male,"Captain, US Navy",10/30/46,,"STS 41-B, STS 61-C, STS-27, STS-47 and STS-71",868
"Gregory, Frederick D. ",1978,8,3,Former,Military,Male,"Colonel, US Air Force (Retired)",1/7/41,,"STS 51-B, STS-33 and STS-44",455
"Griggs, S. David ",1978,8,1,Deceased ,Civilian,Male,,9/7/39,,STS 51-D,167
"Hart, Terry J. ",1978,8,1,Former ,Civilian,Male,,10/27/46,,STS 41-C,167
"Hauck, Frederick H. ",1978,8,3,Former ,Military,Male,"Captain, US Navy",4/11/41,,"STS-7, STS 51-A and STS-26",436
"Hawley, Steven A. ",1978,8,5,Former,Civilian,Male,,12/12/51,,"STS 41-D, STS 61-C, STS-31, STS-82 and STS-93",770
"Hoffman, Jeffrey A. ",1978,8,5,Former ,Civilian,Male,,11/2/44,,"STS 51-D, STS-35, STS-46, STS-61 and STS-75",1211
"Lucid, Shannon W. ",1978,8,5,Management ,Civilian,Female,,1/14/43,,"STS 51-G, STS-34, STS-43, STS-58, STS-76/Mir and Mir/STS-79",5354
"McBride, Jon A. ",1978,8,1,Former ,Military,Male,"Captain, US Navy",8/14/43,Pilot,STS 41-G,197
"McNair, Ronald E. ",1978,8,1,Deceased ,Civilian,Male,,10/21/50,,STS 41-B,191
"Mullane, Richard M. ",1978,8,3,Former ,Military,Male,"Colonel, US Air Force",9/10/45,,"STS 41-D, STS-27 and STS-36",356
"Nagel, Steven R. ",1978,8,4,Management ,Military,Male,"Colonel, US Air Force (Retired)",10/27/46,,"STS 51-G, STS 61-A, STS-37 and STS-55",723
"Nelson, George D. ",1978,8,3,Former ,Civilian,Male,,7/13/50,,"STS 41-C, STS 61-C and STS-26",411
"Onizuka, Ellison S. ",1978,8,1,Deceased ,Military,Male,"Lieutenant  Colonel, US Air Force",6/24/46,,STS 51-C,73
"Resnik, Judith A. ",1978,8,1,Deceased ,Civilian,Female,,4/5/49,,STS 41-D,144
"Ride, Sally K. ",1978,8,2,Former ,Civilian,Female,,5/26/51,,STS-7 and STS 41-G,343
"Scobee, Francis R. ",1978,8,1,Deceased ,Military,Male,"Major, US Air Force",5/19/39,,STS 41-C,168
"Seddon, Margaret Rhea ",1978,8,3,Former ,Civilian,Female,,11/8/47,,"STS 51-D, STS-40 and STS-58",722
"Shaw, Brewster H., Jr. ",1978,8,3,Former ,Military,Male,"Colonel, US Air Force",5/16/45,,"STS-9, STS 61-B and STS-28",533
"Shriver, Loren J. ",1978,8,3,Former ,Military,Male,"Colonel, US Air Force",9/23/44,,"STS 51-C, STS-31 and STS-46",386
"Stewart, Robert L. ",1978,8,2,Former ,Military,Male,"Brigadier General, US Army",8/13/42,,STS 41-B and STS 51-J,289
"Sullivan, Kathryn D. ",1978,8,3,Former ,Civilian,Female,,10/3/51,,"STS 41-G, STS-31 and STS-45",532
"Thagard, Norman E. ",1978,8,5,Former ,Civilian,Male,,7/3/43,,"STS-7, STS 51-B, STS-30, STS-42 and Mir/STS-71",3360
"Van Hoften, James D. A. ",1978,8,2,Former ,Civilian,Male,,6/11/44,,STS 41-C and STS 51-I,338
"Walker, David M. ",1978,8,4,Deceased ,Military,Male,"Captain, US Navy",5/20/44,,"STS 51-A, STS-30, STS-53 and STS-69",724
"Bagian, James P. ",1980,9,2,Former ,Civilian,Male,,2/22/52,,STS-29 and STS-40,337
"Blaha, John E. ",1980,9,5,Former ,Military,Male,"Colonel, US Air Force",8/26/42,,"STS-29, STS-33, STS-43, STS-58, STS-79/Mir and Mir/STS-81",3864
"Bolden, Charles F., Jr. ",1980,9,4,Former ,Military,Male,"Brigadier General, US Marine Corps",8/19/46,,"STS-61C, STS-31, STS-45 and STS-60",680
"Bridges, Roy D., Jr. ",1980,9,1,Former,Military,Male,"Major General, US Air Force (Retired)",7/19/43,,STS 51-F,190
"Chang-Diaz, Franklin R. ",1980,9,7,Former,Civilian,Male,,4/5/50,,"STS 61-C, STS-34, STS-46, STS-60, STS-75, STS-91 and STS-111",1601
"Cleave, Mary L. ",1980,9,2,Former,Civilian,Female,,2/5/47,,STS 61-B and STS-30,240
"Dunbar, Bonnie J. ",1980,9,5,Former,Civilian,Female,,3/3/49,,"STS 61-A, STS-32, STS-50, STS-71 and STS-89",1208
"Fisher, William F. ",1980,9,1,Former ,Civilian,Male,,4/1/46,,STS 51-I,170
"Gardner, Guy S. ",1980,9,2,Former ,Military,Male,"Colonel, US Air Force",1/6/48,,STS-27 and STS-35,320
"Grabe, Ronald J. ",1980,9,4,Former ,Military,Male,"Colonel, US Air Force",6/13/45,,"STS 51-J, STS-30, STS-42 and STS-57",627
"Hilmers, David C. ",1980,9,4,Former ,Military,Male,"Colonel, US Marine Corps",1/28/50,,"ST 51-J, STS-26, STS-36 and STS-42",494
"Leestma, David C. ",1980,9,3,Management ,Military,Male,"Captain, US Navy (Retired) ",5/6/49,,"STS 41-G, STS-28 and STS-45",532
"Lounge, John M. ",1980,9,3,Former ,Civilian,Male,,6/28/46,,"STS 51-I, STS-26 and STS-35",482
"O'Connor, Bryan D. ",1980,9,2,Management ,Military,Male,"Colonel, US Marine Corps (Retired)",9/6/46,,STS 61-B and STS-40,386
"Richards, Richard N. ",1980,9,4,Former ,Military,Male,"Captain, US Navy",8/24/46,,"STS-28, STS-41, STS-50 and STS-64",813
"Ross, Jerry L. ",1980,9,7,Management ,Military,Male,"Colonel, US Air Force (Retired)",1/20/48,,"ST 61-B, ST-27, ST-37, STS-55, STS-74, STS-88 and STS-110",1393
"Smith, Michael J. ",1980,9,0,Deceased ,Military,Male,"Captain, US Navy",4/30/45,,,0
"Spring, Sherwood C. ",1980,9,1,Former ,Military,Male,"Colonel, US Army",9/23/44,,STS 61-B,165
"Springer, Robert C. ",1980,9,2,Former ,Military,Male,"Colonel, US Marine Corps",5/21/42,,STS-29 and STS-38,237
"Adamson, James C. ",1984,10,2,Former ,Military,Male,"Colonel, US Army (retired)",3/3/46,,STS-28 and STS-43,334
"Baker, Ellen S. ",1984,10,3,Management ,Civilian,Female,,4/27/53,,"STS-34, STS-50 and STS-71",686
"Brown, Mark N. ",1984,10,2,Former ,Military,Male,"Colonel, US Air Force (Retired)",11/18/51,,STS 28 and STS-48,249
"Cameron, Kenneth D. ",1984,10,3,Former,Military,Male,"Colonel, US Marine Corps (Retired)",11/29/49,,"STS-37, STS-56 and STS-74",561
"Carter, Manley Lanier, Jr. ",1984,10,1,Deceased ,Military,Male,"Captain, US Navy",8/15/47,,STS-33,120
"Casper, John H. ",1984,10,4,Management ,Military,Male,"Colonel, US Air Force (Retired)",7/9/43,,"STS-36, STS-54, STS-62 and STS-77",825
"Culbertson, Frank L., Jr. ",1984,10,3,Former ,Military,Male,"Captain, US Navy",5/15/49,,"STS-38, STS-51 and STS-105/Exp 3/STS-108",146
"Gutierrez, Sidney M. ",1984,10,2,Former ,Military,Male,"Colonel, US Air Force",6/27/51,,STS-40 and STS-59,488
"Hammond, L. Blaine, Jr. ",1984,10,2,Former ,Military,Male,"Colonel, US Air Force",1/16/52,,STS-39 and STS-64,462
"Ivins, Marsha S. ",1984,10,5,Former,Civilian,Female,,4/15/51,Mission Specialist,"STS-32, STS-46, STS-62, STS-81 and STS-98",1318
"Lee, Mark C. ",1984,10,4,Former ,Military,Male,"Colonel, US Air Force",8/14/52,,"STS-30, STS-47, STS-64 and STS-82",789
"Low, G. David ",1984,10,3,Former ,Civilian,Male,,2/19/56,,"STS-32, STS-43 and STS-57",714
"McCulley, Michael J. ",1984,10,1,Former ,Military,Male,"Captain, US Navy",8/4/43,Pilot,STS-34,119
"Shepherd, William M. ",1984,10,4,Former ,Military,Male,"Captain, US Navy",7/26/49,,"STS-37, STS-41, STS-52 and Exp 1/STS-102",3816
"Thornton, Kathryn C. ",1984,10,4,Former ,Civilian,Female,,8/17/52,,"STS-33, STS-49, STS-61 and STS-73",975
"Veach, Charles Lacy ",1984,10,2,Deceased ,Civilian,Male,,9/18/44,Mission Specialist,STS-39 and STS-52,436
"Wetherbee, James D. ",1984,10,6,Former,Military,Male,"Captain, US Navy (Retired)",11/27/52,,"STS-32, STS-52, STS-63, STS-86, STS-102 and STS-113",1592
"Apt, Jerome ",1985,11,4,Former ,Civilian,Male,,4/28/49,,"STS-37, STS-47, STS-59 and STS-79",847
"Baker, Michael A. ",1985,11,4,Management ,Military,Male,"Captain, US Navy (Retired)",10/27/53,,"STS-43, STS-52, STS-68 and STS-81",965
"Cabana, Robert D. ",1985,11,4,Management ,Military,Male,"Colonel, US Marine Corps (Retired)",1/23/49,,"STS-41, STS-53, STS-65 and STS-88",1010
"Duffy, Brian ",1985,11,4,Former ,Military,Male,"Colonel, US Air Force",6/20/53,,"STS-45, STS-57, STS-72 and STS-92",976
"Gemar, Charles D. ",1985,11,3,Former ,Military,Male,"Lieutenant Colonel, US Army",8/4/55,,"STS-38, STS-48 and STS-62",581
"Godwin, Linda M. ",1985,11,4,Former,Civilian,Female,,7/2/52,,"STS-37, STS-59, STS-76 and STS-108",912
"Henricks, Terence T. ",1985,11,4,Former ,Military,Male,"Colonel, US Air Force",7/5/52,,"STS-44, STS-55, STS-70 and STS-78",1026
"Hieb, Richard J. ",1985,11,3,Former ,Civilian,Male,,9/21/55,,"STS-39, STS-49 and STS-65",766
