Astronaut ,Selection Year, Group, # Flights ,Status ,Military or civilian,Gender,If military include details,Date of birth,Job,Missions flown,Cumulative hours of space flight time
"Jernigan, Tamara E. ",1985,11,5,Former ,Civilian,Female,,5/7/59,,"STS-40, STS-52, STS-67, STS-80 and STS-98",1512
"Meade, Carl J. ",1985,11,3,Former ,Military,Male,"Colonel, US Air Force",11/16/50,,"STS-38, STS-50 and STS-64",712
"Oswald, Stephen S. ",1985,11,3,Former ,Civilian,Male,,6/30/51,,"STS-42, STS-56 and STS-67",814
"Thorne, Stephen D. ",1985,11,0,Deceased ,Military,Male,"Lieutenant Commander, US Navy",2/11/53,,,0
"Thuot, Pierre J. ",1985,11,3,Former ,Military,Male,"Commander, US Navy",5/19/55,,"STS-36, STS-49 and STS-62",654
"Akers, Thomas D. ",1987,12,4,Former ,Military,Male,"Lieutenant Colonel, US Air Force (Retired)",5/20/51,,"STS-41, STS-49, STS-61 and STS-79",814
"Allen, Andrew M. ",1987,12,3,Former ,Military,Male,"Lieutenant Colonel, USMC (Retired)",8/4/55,,"STS-46, STS-62 and STS-75",904
"Bowersox, Kenneth D. ",1987,12,5,Former,Military,Male,"Captain, US Navy ",11/14/56,,"STS-50, STS-61, STS-73, STS-82 and STS-113/Exp. 6",5304
"Brown, Curtis L., Jr. ",1987,12,6,Former ,Military,Male,"Colonel, US Air Force (Retired)",3/11/56,,"STS-47, STS-66, STS-77, STS-85, STS-95 and STS-103",1381
"Chilton, Kevin P. ",1987,12,3,Former ,Military,Male,"Brigadier General, US Air Force",3/11/54,,"STS-49, STS-59 and STS-76",704
"Davis, N. Jan ",1987,12,3,Former,Civilian,Female,,11/1/53,,"STS-47, STS-60 and STS-85",673
"Foale, C. Michael ",1987,12,6,Current ,Civilian,Male,,1/6/57,Mission Specialist,"STS-45, STS-56, STS-63, STS-84/Mir, Mir/STS-86, STS-103 and Expedition 8",8976
"Harbaugh, Gregory J. ",1987,12,4,Former ,Civilian,Male,,4/15/56,,"STS-39, STS-54, STS-71 and STS-82",817
"Jemison, Mae C. ",1987,12,1,Former ,Civilian,Female,,10/17/56,,STS-47,190
"McMonagle, Donald R. ",1987,12,3,Former ,Military,Male,"Colonel, US Air Force",5/14/52,,"STS-39, STS-54 and STS-66",605
"Melnick, Bruce E. ",1987,12,2,Former ,Military,Male,"Commander, US Coast Guard",12/5/49,,STS-41 and STS-49,311
"Readdy, William F. ",1987,12,3,Former,Civilian,Male,,1/24/52,,"STS-42, STS-51 and STS-79",672
"Reightler, Kenneth S., Jr. ",1987,12,2,Former ,Military,Male,"Captain, US Navy",3/24/51,,STS-48 and STS-60,327
"Runco, Mario, Jr. ",1987,12,3,Management ,Military,Male,"Lieutenant Commander, US Navy (Retired)",1/26/52,,"STS-44, STS-54 and STS-77",551
"Voss, James S. ",1987,12,5,Former ,Military,Male,"Colonel, US Army",3/3/49,,"STS-44, STS-53, STS-69, STS-101 and Exp 2",4848
"Bursch, Daniel W. ",1990,13,4,Former,Military ,Male,"Captain, US Navy",7/25/57,,"STS-51, STS-68, STS-77, STS-108/Exp 4/STS-111",5448
"Chiao, Leroy ",1990,13,4,Former,Civilian,Male,,8/28/60,Mission Specialist,"STS-65, STS-72, Exp 10 and STS-92",5503
"Clifford, Michael R. ",1990,13,3,Former ,Military,Male,"Lieutenant Colonel, US Army (Retired)",10/13/52,,"STS-53, STS-59 and STS-76",665
"Cockrell, Kenneth D. ",1990,13,5,Management ,Civilian,Male,US Naval Reserve,4/9/50,,"STS-56, STS-69, STS-80, STS-98 and STS-111",1560
"Collins, Eileen M. ",1990,13,4,Former,Military,Female,"Colonel, US Air Force",11/19/59,Pilot,"STS-63, STS-84, STS-114 and STS-93",872
"Currie, Nancy J. ",1990,13,4,Management ,Military,Female,"Lieutenant Colonel, US Army",12/29/58,,"STS-57, STS-70, STS-88 and STS-109",999
"Gregory, William G. ",1990,13,1,Former ,Military,Male,"Lieutenant Colonel, US Air Force",5/14/57,,STS-67,399
"Halsell, James D., Jr. ",1990,13,5,Former,Military,Male,"Colonel, US Air Force",9/29/56,Pilot,"STS-65, STS-74, STS-83, STS-94 and STS-101",1250
"Harris, Bernard A., Jr. ",1990,13,2,Former ,Civilian,Male,,6/26/56,,STS-55 and STS-63,438
"Helms, Susan J. ",1990,13,5,Former ,Military,Female,"Colonel, US Air Force",2/26/58,,"STS-54, STS-64, STS-78, STS-101 and STS-102/Exp 2/STS-105",5064
"Jones, Thomas D. ",1990,13,4,Former ,Civilian,Male,,1/22/55,,"STS-59, STS-68, STS-80 and STS-98",1272
"McArthur, William S., Jr. ",1990,13,4,Current ,Military,Male,"Colonel, US Army (Retired)",7/26/51,Mission Specialist,"STS-58, STS-74, Exp 12 and STS-92",5398
"Newman, James H. ",1990,13,4,Former,Civilian,Male,,10/16/56,,"STS-51, STS-69, STS-88 and STS- 109",1032
"Ochoa, Ellen ",1990,13,4,Management ,Civilian,Female,,5/10/58,,"STS-56, STS-66, STS-96 and STS-110",978
"Precourt, Charles J., Jr. ",1990,13,4,Former,Military,Male,"Colonel, US Air Force (Retired)",6/29/55,,"STS-55, STS-71, STS-84 and STS-91",932
"Searfoss, Richard A. ",1990,13,3,Former ,Military,Male,"Colonel, US Air Force",6/5/56,,"STS-58, STS-76 and STS-90",938
"Sega, Ronald M. ",1990,13,2,Former ,Civilian,Male,"Colonel, US Air Force Reserve",12/4/52,,STS-60 and STS-76,420
"Thomas, Donald A. ",1990,13,4,Management ,Civilian,Male,,5/6/55,,"STS-65, STS-70, STS-83 and STS-94",1040
"Voss, Janice E. ",1990,13,5,Management ,Civilian,Female,,10/8/56,,"STS-57, STS-63, STS-83, STS-94 and STS-99",1176
"Walz, Carl E. ",1990,13,4,Former,Military,Male,"Colonel, US Air Force",9/6/55,,"STS-51, STS-65, STS-79 and STS-108/Exp 4/STS-111",5544
"Barry, Daniel T. ",1992,14,3,Former ,Civilian,Male,,12/30/53,Mission Specialist,"STS-72, STS-96 and STS-105",734
"Brady, Charles E., Jr. ",1992,14,1,Deceased ,Military,Male,"Captain, US Navy",8/12/51,,STS-78,405
"Coleman, Catherine G. ",1992,14,2,Current ,Military,Female,"Lieutenant Colonel, US Air Force",12/14/60,Mission Specialist,STS-73 and STS-93,500
"Gernhardt, Michael L. ",1992,14,4,Current ,Civilian,Male,,5/4/56,Mission Specialist,"STS-69, STS-83, STS-94 and STS-104",1032
"Grunsfeld, John M. ",1992,14,5,Former,Civilian,Male,,10/10/58,,"STS-67, STS-81, STS-103, STS-125 and STS-109",1392
"Horowitz, Scott J. ",1992,14,4,Former,Military,Male,"Colonel, US Air Force",3/24/57,Pilot,"STS-75, STS-82, STS-101 and STS-105",1138
"Jett, Brent W. ",1992,14,4,Current ,Military,Male,"Captain, US Navy",10/5/58,Pilot,"STS-72, STS-81, STS-97 and STS-115",960
Kregel Kevin R. ,1992,14,4,Former,Civilian,Male,,9/16/56,,"STS-70, STS-78, STS-87 and STS-99",1265
"Lawrence, Wendy B. ",1992,14,4,Former,Military,Female,"Captain, US Navy",7/2/59,Mission Specialist,"STS-67, STS-86, STS-91 and STS-114",1225
"Linenger, Jerry M. ",1992,14,2,Former ,Military,Male,"Captain, US Navy",1/16/55,,STS-64 and STS-81,3435
"Linnehan, Richard M. ",1992,14,4,Current ,Civilian,Male,,9/19/57,Mission Specialist,"STS-78, STS-90, STS-109 and STS-123",1392
"Lopez-Alegria, Michael E. ",1992,14,4,Management ,Military,Male,"Captain, US Navy",5/30/58,,"STS-73, STS-92 and STS-113 and Exp 14",6168
"Parazynski, Scott E. ",1992,14,4,Former,Civilian,Male,,7/28/61,Mission Specialist,"STS-66, STS-86, STS-95, STS-100 and STS-120",1318
"Rominger, Kent V. ",1992,14,5,Former,Military,Male,"Captain, US Navy",8/7/56,,"STS-73, STS-80, STS-85, STS-96 and STS-100",1608
"Scott, Winston E. ",1992,14,2,Former ,Military,Male,"Captain, US Navy",8/6/50,,STS-72 and STS-87,590
"Smith, Steven L. ",1992,14,4,Management ,Civilian,Male,,12/30/58,,"STS-68, STS-82, STS-103 and STS-110",959
"Tanner, Joseph R. ",1992,14,4,Former,Civilian,Male,,1/21/50,Mission Specialist,"STS-66, STS-82, STS-97 and STS-115",1069
"Thomas, Andrew S. W. ",1992,14,4,Current ,Civilian,Male,,12/18/51,Mission Specialist,"STS-77, STS-89, STS-102 and STS-114",4248
"Weber, Mary E. ",1992,14,2,Former ,Civilian,Female,,8/24/62,,STS-70 and STS-101,450
"Altman, Scott D. ",1995,15,4,Former ,Military,Male,"Captain, US Navy",8/15/59,Pilot,"STS-90, STS-106, STS-109 and STS-125",1224
"Anderson, Michael P. ",1995,15,2,Deceased ,Military,Male,"Lieutenant Colonel, US Air Force",12/25/59,,STS-89 and STS-107,593
"Ashby, Jeffrey S. ",1995,15,3,Former ,Military,Male,"Captain, US Navy (Retired)",6/1/54,,"STS-93, STS-100 and STS-112",660
"Bloomfield, Michael J. ",1995,15,3,Former ,Military,Male,"Colonel, US Air Force",3/16/59,Pilot,"STS-86, STS-97 and STS-110",753
"Chawla, Kalpana ",1995,15,2,Deceased ,Civilian,Female,,6/1/61,,STS-87 and STS-107,758
"Curbeam, Robert L., Jr. ",1995,15,3,Former,Military,Male,Commander US Navy,3/5/62,Mission Specialist,"STS-85, STS-98 and STS-116",901
"Edwards, Joe F., Jr. ",1995,15,1,Former ,Military,Male,"Commander, US Navy",2/3/58,,STS-89,211
"Gorie, Dominic L. ",1995,15,4,Former,Military,Male,"Captain, US NAvy",5/2/57,Pilot,"STS-91, STS-99, STS-123 and STS-108",128
"Hire, Kathryn P. ",1995,15,2,Current ,Military,Female,"Captain, US Naval Reserve",8/26/59,Mission Specialist,STS-90 and STS-130,711
"Husband, Rick D. ",1995,15,2,Deceased ,Military,Male,"Colonel, US Air Force",7/12/57,,STS-96 and STS-107,617
"Kavandi, Janet L. ",1995,15,3,Current ,Civilian,Female,,7/17/59,Mission Specialist,"STS-91, STS-99 and STS-104",792
"Kilrain, Susan L. ",1995,15,2,Former ,Military,Female,"Commander, US Navy",10/24/61,,STS-83 and STS-94,471
"Lindsey, Steven W. ",1995,15,5,Current ,Military,Male,"Colonel, US Air Force",8/24/60,Pilot,"STS-87, STS-95 and STS-104, STS-121 and STS-133",1510
"Lu, Edward T. ",1995,15,3,Former,Civilian,Male,,7/1/63,Mission Specialist,"STS-84, STS-106, Expedition 7 and Soyuz TMA-2",4944
"Melroy, Pamela A. ",1995,15,3,Former,Military,Female,"Colonel, US Air Force",9/17/61,Pilot,"STS-92, STS-112 and STS-120",924
"Noriega, Carlos I. ",1995,15,2,Current ,Military,Male,"Lieutenant Colonel, US Marine Corps (Retired)",10/8/59,Mission Specialist,STS-84 and STS-97,481
"Reilly, James F. ",1995,15,3,Former,Civilian,Male,US Naval Reserve,3/18/54,Mission Specialist,"STS-89, STS-104 and STS-117",853
"Robinson, Stephen K. ",1995,15,4,Current ,Civilian,Male,,10/26/55,Mission Specialist,"STS-85, STS-95, STS-114 and STS-130",1156
"Sturckow, Frederick W. ",1995,15,4,Current ,Military,Male,"Lieutenant Colonel, US Marine Corps",8/11/61,Pilot,"STS-88, STS-105, STS-117 and STS-128",1200
"Brown, David M. ",1996,16,1,Deceased ,Military,Male,"Captain, US Navy",4/16/56,,STS-107,382
"Burbank, Daniel C. ",1996,16,1,Current ,Military ,Male,"Commander, US Navy",7/27/61,Mission Specialist,STS-106 and STS-115,552
"Cagle, Yvonne D. ",1996,16,0,Current ,Military,Female,"Colonel, US Air Force",4/24/59,Mission Specialist,,0
"Caldeiro, Fernando (Frank) ",1996,16,0,Deceased ,Civilian,Male,,6/12/58,Mission Specialist,,0
"Camarda, Charles J. ",1996,16,1,Current ,Civilian,Male,,5/8/52,Mission Specialist,STS-114,333
"Carey, Duane G. ",1996,16,1,Former,Military,Male,"Lieutenant Colonel, US Air Force",4/30/57,Pilot,STS-109,240
"Clark, Laurel B. ",1996,16,1,Deceased ,Military,Female,"Commander, US Navy",3/10/61,,STS-107,382
"Fincke, E. Michael ",1996,16,3,Current ,Military,Male,"Lieutenant Colonel, US Air Force",3/14/67,Mission Specialist,"Exp 9, Exp 18, STS-134",9159
"Forrester, Patrick G. ",1996,16,3,Current ,Military,Male,"Colonel, US Army",3/31/57,Mission Specialist,"STS-105, STS-117 and STS-128",950
"Frick, Stephen N. ",1996,16,2,Current ,Military,Male,"Commander, US Navy",9/30/61,Pilot,STS-110 and STS-122,565
"Herrington, John B. ",1996,16,1,Former,Military,Male,"Commander, US Navy",9/14/58,Mission Specialist,STS-113,330
"Higginbotham, Joan E. ",1996,16,1,Former,Civilian,Female,,8/3/64,Mission Specialist,STS-116,308
"Hobaugh, Charles O. ",1996,16,3,Current ,Military,Male,"Lieutenant Colonel, US Marine Corps",11/5/61,Pilot,"STS-104, STS-118 and ST-129",876
"Kelly, James M. ",1996,16,2,Current ,Military,Male,"Lieutenant Colonel, US Air Force",5/14/64,Pilot,STS-102 and STS-114,641
"Kelly, Mark E. ",1996,16,3,Current ,Military,Male,"Commander, US Navy",2/21/64,Pilot,"STS-108, STS-121 and STS-124",912
"Kelly, Scott J. ",1996,16,3,Current ,Military,Male,"Commander, US Navy",2/21/64,Pilot,"STS-103, STS-118 and Soyuz TMA-M",4320
"Lockhart, Paul S. ",1996,16,2,Former,Military,Male,"Lieutenant Colonel, US Air Force",4/28/56,,STS-111 and STS-113,624
"Loria, Christopher J. ",1996,16,0,Former,Military,Male,"Lieutenant Colonel, US Marine Corps",7/9/60,,,0
"Magnus, Sandra H. ",1996,16,2,Current ,Civilian,Female,,10/30/64,Mission Specialist,STS-112 and STS-126, 
"Massimino, Michael J. ",1996,16,2,Current ,Civilian,Male,,8/19/62,Mission Specialist,STS-109 and STS-125,571
"Mastracchio, Richard A. ",1996,16,3,Current ,Civilian,Male,,2/11/60,Mission Specialist,"STS-106, STS-118 and STS-131",960
"McCool, William C. ",1996,16,1,Deceased ,Military,Male,"Commander, US Navy",9/23/61,,STS-107,382
"Morin, Lee M. ",1996,16,1,Management ,Military,Male,"Captain, US Navy",9/9/52,,STS-110,259
"Nowak, Lisa M. ",1996,16,1,Former,Military,Female,"Commander, US Navy",5/10/63,Mission Specialist,STS-121,306
"Pettit, Donald R. ",1996,16,2,Current ,Civilian,Male,,4/20/55,Mission Specialist,STS-113 and STS-126,4224
"Phillips, John L. ",1996,16,3,Current ,Civilian,Male,US Naval Reserve,4/15/51,Mission Specialist,"STS-100, Soyuz TMA-6 and STS-119",4872
"Polansky, Mark L. ",1996,16,3,Current ,Civilian,Male,,6/2/56,Pilot,"STS-98, ST-116 and STS-127",993
"Richards, Paul W. ",1996,16,1,Former ,Civilian,Male,,5/20/64,,STS-102,307
"Sellers, Piers J. ",1996,16,3,Current ,Civilian,Male,,4/11/55,Mission Specialist,"STS-112, STS-121 and STS-132",839
"Stefanyshyn-Piper, Heidemarie M. ",1996,16,2,Former,Military,Female,"Commander, US Navy",2/7/63,Mission Specialist,STS-115 and STS-126,648
"Tani, Daniel M. ",1996,16,2,Current ,Civilian,Male,,2/1/61,Mission Specialist,STS-108 and STS-120/ Exp 16/ STS-122,318
"Walheim, Rex J. ",1996,16,2,Current ,Military,Male,"Lieutenant Colonel, US Air Force",10/10/62,Mission Specialist,STS-110 and STS-122,565
"Anderson, Clayton C. ",1998,17,2,Current ,Civilian,Male,,2/23/59,Mission Specialist,STS-117 and STS-131,4046
"Archambault, Lee J. ",1998,17,2,Current ,Military,Male,"Lieutenant Colonel, US Air Force",8/25/60,Pilot,STS-117 and STS-119,648
"Caldwell, Tracy E. ",1998,17,2,Current ,Civilian,Female,,8/14/69,Mission Specialist,STS-118 and Soyuz TMA-18,4529
"Chamitoff, Gregory E. ",1998,17,3,Current ,Civilian,Male,,8/6/62,Mission Specialist,"STS -124, Exp 17 and Exp 18", 
"Creamer, Timothy J. ",1998,17,1,Current ,Military,Male,"Lieutenant Colonel, US Army",11/15/59,Mission Specialist,Soyuz TMA-17,3912
"Ferguson, Christopher J. ",1998,17,2,Current ,Military,Male,"Commander, US Navy",9/1/61,Pilot,STS-115 and STS-126,672
"Foreman, Michael J. ",1998,17,2,Current ,Military,Male,"Captain, US Navy",3/29/57,Mission Specialist,STS-123 and STS-129,637
"Fossum, Michael E. ",1998,17,2,Current ,Civilian,Male,US Naval Reserve,12/19/57,Mission Specialist,STS-121 and STS-124,636
"Ham, Kenneth T. ",1998,17,2,Current ,Military,Male,"Commander, US Navy",12/12/64,Pilot,STS-124 and STS-132,612
"Johnson, Gregory C. ",1998,17,1,Management ,Civilian,Male,US naval Reserve,7/30/54,Pilot,STS-125,309
"Johnson, Gregory H. ",1998,17,1,Current ,Military,Male,"Lieutenant Colonel, US Air Force",5/12/62,Pilot,STS-123,378
"Love, Stanley G. ",1998,17,1,Current ,Civilian,Male,,6/8/65,Mission Specialist,STS-122 ,306
"Melvin, Leland D. ",1998,17,2,Management ,Civilian,Male,,2/15/64,Mission Specialist,STS-122 and STS-129,565
"Morgan, Barbara R. ",1998,17,1,Former,Civilian,Female,,11/28/51,Mission Specialist,STS-118,305
"Oefelein, William A. ",1998,17,1,Former,Military,Male,"Commander, US Navy",3/29/65,Pilot,STS-116,308
"Olivas, John D. ",1998,17,2,Former,Civilian,Male,,5/25/66,Mission Specialist,STS-117 and STS-128,668
"Patrick, Nicholas J. M. ",1998,17,2,Current ,Civilian,Male,,3/22/64,Mission Specialist,STS-116 and STS-130,638
"Poindexter, Alan G. ",1998,17,2,Former,Military,Male,"Commander, US Navy",11/5/61,Pilot,STS-122 and STS-131,669
"Reisman, Garrett E. ",1998,17,2,Former,Civilian,Male,,2/10/68,Mission Specialist,STS-123 and STS-132,2473
"Robertson, Patricia Hilliard ",1998,17,0,Deceased ,Civilian,Female,,3/12/63,,,0
"Swanson, Steven R. ",1998,17,2,Current ,Civilian,Male,,12/3/60,Mission Specialist,STS-117 and STS-119,643
"Wheelock, Douglas H. ",1998,17,2,Current ,Military,Male,"Lieutenant Commander, US Army",5/5/60,Mission Specialist,STS-120 and Exp 25,4272
"Zamka, George D. ",1998,17,2,Current ,Military,Male,"Lieutenant Colonel, US Marine Corps",6/29/62,Pilot,STS-120 and STS-130,692
"Antonelli, Dominic A. ",2000,18,2,Current ,Military,Male,"Lieutenant Commander, US Navy",8/23/67,Pilot,STS-119  and STS-132,579
"Barratt, Michael R. ",2000,18,2,Current ,Civilian,Male,,4/16/59,Mission Specialist,"Soyuz TMA-14, STS-133",5085
"Behnken, Robert L. ",2000,18,2,Current ,Military,Male,"Major, US Air Force",7/28/70,Mission Specialist,STS-123 and STS-130,708
"Boe, Eric A. ",2000,18,0,Current ,Military,Male,"Lieutenant Colonel, US Air Force",10/1/64,Pilot,STS-126 and STS-133,672
"Bowen, Stephen G. ",2000,18,3,Current ,Military,Male,"Commander, US Navy",2/13/64,Mission Specialist,"STS-126, STS-132 and STS-133",970
"Drew, Alvin B. ",2000,18,2,Current ,Military,Male,"Lieutenant Colonel, US Air Force",11/5/62,Mission Specialist,STS-118 and STS-133,612
"Feustel, Andrew J. ",2000,18,2,Current ,Civilian,Male,,8/25/65,Mission Specialist,STS-125 and STS-134,687
"Ford, Kevin A. ",2000,18,1,Current ,Military,Male,"Lieutenant Colonel, US Air Force",7/7/60,Pilot,STS-128,333
"Garan, Ronald J., Jr. ",2000,18,0,Current ,Military,Male,"Lieutenant Colonel, US Air Force",10/20/61,Pilot,STS-124,330
"Good, Michael T. ",2000,18,2,Current ,Military,Male,"Lieutenant Colonel, US Air Force",10/13/62,Mission Specialist,STS-125 and STS-132,600
"Hurley, Douglas G. ",2000,18,1,Current ,Military,Male,"Lieutenant Colonel, US Marine Corps",10/21/66,Pilot,STS-127,376
"Kopra, Timothy L. ",2000,18,1,Current ,Military ,Male,"Lieutenant Colonel, US Army",4/9/63,Mission Specialist,STS-127,1464
"McArthur, K. Megan ",2000,18,1,Current ,Civilian,Female,,8/30/71,Mission Specialist,STS-125,309
"Nyberg, Karen L. ",2000,18,1,Current ,Civilian,Female,,10/7/69,Mission Specialist,STS-124,330
"Stott, Nicole P. ",2000,18,2,Current ,Civilian,Female,,11/19/62,Mission Specialist,STS-128 and STS-133,2491
"Virts, Terry W., Jr. ",2000,18,1,Current ,Military,Male,"2nd Lieutenant, US Air Force",12/1/67,Pilot,STS-130,330
"Acaba, Joseph M. ",2004,19,1,Current ,Civilian,Male,,5/17/67,Educator Mission Specialist,STS-119,307
"Arnold, Richard R., II ",2004,19,0,Current ,Civilian,Male,,11/26/63,Educator Mission Specialist,STS-119,307
"Bresnik, Randolph J. ",2004,19,1,Current ,Military,Male,"Major, USMC",9/11/67,Pilot,STS-129,259
"Cassidy, Christopher J. ",2004,19,1,Candidate ,Military,Male,"Lieutenant Commander, US Navy",1/4/70,Mission Specialist,STS-127,376
"Dutton, James P. ",2004,19,0,Candidate ,Military,Male,"Major, US Air Force",11/20/68,Pilot,STS-131,362
"Hernandez, Jose M. ",2004,19,1,Former,Civilian,Male,,8/7/62,Mission Specialist,STS-128,332
"Kimbrough, Robert S. ",2004,19,1,Current ,Military ,Male,"Major, US Army",6/4/67,Mission Specialist,STS-126,380
"Marshburn, Thomas H. ",2004,19,1,Current ,Military,Male,"Major, US Army",8/29/60,Mission Specialist,STS-127,376
"Metcalf-Lindenburger, Dorothy M. ",2004,19,1,Current ,Civilian,Female,,5/2/75,Educator Mission Specialist,STS-131,362
"Satcher, Robert L. ",2004,19,1,Current ,Civilian,Male,,9/22/65,Mission Specialist,STS-129,259
"Walker, Shannon ",2004,19, ,Current ,Civilian,Female,,6/4/65,Mission Specialist,, 